display_name,first_name,id,last_name,party,state,year
Nickles (R-OK),Don,S158,Nickles,R,OK,1989
Adams (D-WA),Brock,S180,Adams,D,WA,1989
Armstrong (R-CO),William,S134,Armstrong,R,CO,1989
Baucus (D-MT),Max,S127,Baucus,D,MT,1989
Bentsen (D-TX),Lloyd,S009,Bentsen,D,TX,1989
Biden (D-DE),Joseph,S010,Biden,D,DE,1989
Bingaman (D-NM),Jeff,S167,Bingaman,D,NM,1989
Bond (R-MO),Christopher,S200,Bond,R,MO,1989
Boren (D-OK),David,S128,Boren,D,OK,1989
Boschwitz (R-MN),Rudy,S135,Boschwitz,R,MN,1989
Bradley (D-NJ),Bill,S132,Bradley,D,NJ,1989
Breaux (D-LA),John,S179,Breaux,D,LA,1989
Bryan (D-NV),Richard,S206,Bryan,D,NV,1989
Bumpers (D-AR),Dale,S014,Bumpers,D,AR,1989
Burdick (D-ND),Quentin,S015,Burdick,D,ND,1989
Burns (R-MT),Conrad,S211,Burns,R,MT,1989
Byrd (D-WV),Robert,S017,Byrd,D,WV,1989
Chafee (R-RI),John,S116,Chafee,R,RI,1989
Coats (R-IN),Dan,S212,Coats,R,IN,1989
Cochran (R-MS),Thad,S136,Cochran,R,MS,1989
Cohen (R-ME),William,S137,Cohen,R,ME,1989
Conrad (D-ND),Kent,S201,Conrad,D,ND,1989
Cranston (D-CA),Alan,S023,Cranston,D,CA,1989
D'Amato (R-NY),Alfonse,S147,D'Amato,R,NY,1989
Danforth (R-MO),John,S108,Danforth,R,MO,1989
Daschle (D-SD),Thomas,S185,Daschle,D,SD,1989
DeConcini (D-AZ),Dennis,S102,DeConcini,D,AZ,1989
Dixon (D-IL),Alan,S149,Dixon,D,IL,1989
Dodd (D-CT),Christopher,S150,Dodd,D,CT,1989
Dole (R-KS),Bob,S026,Dole,R,KS,1989
Domenici (R-NM),Pete,S027,Domenici,R,NM,1989
Durenberger (R-MN),Dave,S133,Durenberger,R,MN,1989
Exon (D-NE),J.,S129,Exon,D,NE,1989
Ford (D-KY),Wendell,S033,Ford,D,KY,1989
Fowler (D-GA),Wyche,S183,Fowler,D,GA,1989
Garn (R-UT),Jake,S034,Garn,R,UT,1989
Glenn (D-OH),John,S035,Glenn,D,OH,1989
Gore (D-TN),Albert,S170,Gore,D,TN,1989
Gorton (R-WA),Slade,S152,Gorton,R,WA,1989
Graham (D-FL),Bob,S199,Graham,D,FL,1989
Gramm (R-TX),Phil,S171,Gramm,R,TX,1989
Grassley (R-IA),Chuck,S153,Grassley,R,IA,1989
Harkin (D-IA),Tom,S172,Harkin,D,IA,1989
Hatch (R-UT),Orrin,S118,Hatch,R,UT,1989
Hatfield (R-OR),Mark,S044,Hatfield,R,OR,1989
Heflin (D-AL),Howell,S130,Heflin,D,AL,1989
Heinz (R-PA),John,S115,Heinz,R,PA,1989
Helms (R-NC),Jesse,S046,Helms,R,NC,1989
Hollings (D-SC),Ernest,S047,Hollings,D,SC,1989
Humphrey (R-NH),Gordon,S138,Humphrey,R,NH,1989
Inouye (D-HI),Daniel,S051,Inouye,D,HI,1989
Jeffords (R-VT),James,S204,Jeffords,R,VT,1989
Johnston (D-LA),J.,S054,Johnston,D,LA,1989
Kassebaum (R-KS),Nancy,S140,Kassebaum,R,KS,1989
Kasten (R-WI),Robert,S155,Kasten,R,WI,1989
Kennedy (D-MA),Edward,S055,Kennedy,D,MA,1989
Kerrey (D-NE),J.,S208,Kerrey,D,NE,1989
Kerry (D-MA),John,S173,Kerry,D,MA,1989
Kohl (D-WI),Herb,S209,Kohl,D,WI,1989
Lautenberg (D-NJ),Frank,S166,Lautenberg,D,NJ,1989
Leahy (D-VT),Patrick,S057,Leahy,D,VT,1989
Levin (D-MI),Carl,S131,Levin,D,MI,1989
Lieberman (D-CT),Joseph,S210,Lieberman,D,CT,1989
Lott (R-MS),Trent,S203,Lott,R,MS,1989
Lugar (R-IN),Richard,S105,Lugar,R,IN,1989
Mack (R-FL),Connie,S205,Mack,R,FL,1989
Matsunaga (D-HI),Spark,S104,Matsunaga,D,HI,1989
McCain (R-AZ),John,S197,McCain,R,AZ,1989
McClure (R-ID),James,S063,McClure,R,ID,1989
McConnell (R-KY),Mitch,S174,McConnell,R,KY,1989
Metzenbaum (D-OH),Howard,S114,Metzenbaum,D,OH,1989
Mikulski (D-MD),Barbara,S182,Mikulski,D,MD,1989
Mitchell (D-ME),George,S144,Mitchell,D,ME,1989
Moynihan (D-NY),Daniel,S113,Moynihan,D,NY,1989
Murkowski (R-AK),Frank,S157,Murkowski,R,AK,1989
Nunn (D-GA),Sam,S074,Nunn,D,GA,1989
Packwood (R-OR),Bob,S075,Packwood,R,OR,1989
Pell (D-RI),Claiborne,S078,Pell,D,RI,1989
Pressler (R-SD),Larry,S141,Pressler,R,SD,1989
Pryor (D-AR),David,S125,Pryor,D,AR,1989
Reid (D-NV),Harry,S198,Reid,D,NV,1989
Riegle (D-MI),Donald,S107,Riegle,D,MI,1989
Robb (D-VA),Charles,S207,Robb,D,VA,1989
Rockefeller (D-WV),John,S176,Rockefeller,D,WV,1989
Roth (R-DE),William,S083,Roth,R,DE,1989
Rudman (R-NH),Warren,S160,Rudman,R,NH,1989
Sanford (D-NC),Terry,S178,Sanford,D,NC,1989
Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD,1989
Sasser (D-TN),Jim,S117,Sasser,D,TN,1989
Shelby (D-AL),Richard,S184,Shelby,D,AL,1989
Simon (D-IL),Paul,S175,Simon,D,IL,1989
Simpson (R-WY),Alan,S142,Simpson,R,WY,1989
Specter (R-PA),Arlen,S161,Specter,R,PA,1989
Stevens (R-AK),Ted,S090,Stevens,R,AK,1989
Symms (R-ID),Steve,S162,Symms,R,ID,1989
Thurmond (R-SC),Strom,S096,Thurmond,R,SC,1989
Wallop (R-WY),Malcolm,S119,Wallop,R,WY,1989
Warner (R-VA),John,S143,Warner,R,VA,1989
Wilson (R-CA),Pete,S165,Wilson,R,CA,1989
Wirth (D-CO),Timothy,S181,Wirth,D,CO,1989
Bond (R-MO),Christopher,S200,Bond,R,MO,1990
Burns (R-MT),Conrad,S211,Burns,R,MT,1990
Chafee (R-RI),John,S116,Chafee,R,RI,1990
Coats (R-IN),Dan,S212,Coats,R,IN,1990
Cochran (R-MS),Thad,S136,Cochran,R,MS,1990
D'Amato (R-NY),Alfonse,S147,D'Amato,R,NY,1990
Danforth (R-MO),John,S108,Danforth,R,MO,1990
Dole (R-KS),Bob,S026,Dole,R,KS,1990
Domenici (R-NM),Pete,S027,Domenici,R,NM,1990
Durenberger (R-MN),Dave,S133,Durenberger,R,MN,1990
Garn (R-UT),Jake,S034,Garn,R,UT,1990
Gramm (R-TX),Phil,S171,Gramm,R,TX,1990
Grassley (R-IA),Chuck,S153,Grassley,R,IA,1990
Hatch (R-UT),Orrin,S118,Hatch,R,UT,1990
Hatfield (R-OR),Mark,S044,Hatfield,R,OR,1990
Heinz (R-PA),John,S115,Heinz,R,PA,1990
Humphrey (R-NH),Gordon,S138,Humphrey,R,NH,1990
Jeffords (R-VT),James,S204,Jeffords,R,VT,1990
Kassebaum (R-KS),Nancy,S140,Kassebaum,R,KS,1990
Lott (R-MS),Trent,S203,Lott,R,MS,1990
Lugar (R-IN),Richard,S105,Lugar,R,IN,1990
Mack (R-FL),Connie,S205,Mack,R,FL,1990
McCain (R-AZ),John,S197,McCain,R,AZ,1990
McClure (R-ID),James,S063,McClure,R,ID,1990
McConnell (R-KY),Mitch,S174,McConnell,R,KY,1990
Murkowski (R-AK),Frank,S157,Murkowski,R,AK,1990
Nickles (R-OK),Don,S158,Nickles,R,OK,1990
Packwood (R-OR),Bob,S075,Packwood,R,OR,1990
Roth (R-DE),William,S083,Roth,R,DE,1990
Rudman (R-NH),Warren,S160,Rudman,R,NH,1990
Simpson (R-WY),Alan,S142,Simpson,R,WY,1990
Specter (R-PA),Arlen,S161,Specter,R,PA,1990
Stevens (R-AK),Ted,S090,Stevens,R,AK,1990
Symms (R-ID),Steve,S162,Symms,R,ID,1990
Thurmond (R-SC),Strom,S096,Thurmond,R,SC,1990
Wallop (R-WY),Malcolm,S119,Wallop,R,WY,1990
Warner (R-VA),John,S143,Warner,R,VA,1990
Breaux (D-LA),John,S179,Breaux,D,LA,1990
Adams (D-WA),Brock,S180,Adams,D,WA,1990
Armstrong (R-CO),William,S134,Armstrong,R,CO,1990
Baucus (D-MT),Max,S127,Baucus,D,MT,1990
Bentsen (D-TX),Lloyd,S009,Bentsen,D,TX,1990
Biden (D-DE),Joseph,S010,Biden,D,DE,1990
Bingaman (D-NM),Jeff,S167,Bingaman,D,NM,1990
Boren (D-OK),David,S128,Boren,D,OK,1990
Boschwitz (R-MN),Rudy,S135,Boschwitz,R,MN,1990
Bradley (D-NJ),Bill,S132,Bradley,D,NJ,1990
Bryan (D-NV),Richard,S206,Bryan,D,NV,1990
Bumpers (D-AR),Dale,S014,Bumpers,D,AR,1990
Burdick (D-ND),Quentin,S015,Burdick,D,ND,1990
Byrd (D-WV),Robert,S017,Byrd,D,WV,1990
Cohen (R-ME),William,S137,Cohen,R,ME,1990
Conrad (D-ND),Kent,S201,Conrad,D,ND,1990
Cranston (D-CA),Alan,S023,Cranston,D,CA,1990
Daschle (D-SD),Thomas,S185,Daschle,D,SD,1990
DeConcini (D-AZ),Dennis,S102,DeConcini,D,AZ,1990
Dixon (D-IL),Alan,S149,Dixon,D,IL,1990
Dodd (D-CT),Christopher,S150,Dodd,D,CT,1990
Exon (D-NE),J.,S129,Exon,D,NE,1990
Ford (D-KY),Wendell,S033,Ford,D,KY,1990
Fowler (D-GA),Wyche,S183,Fowler,D,GA,1990
Glenn (D-OH),John,S035,Glenn,D,OH,1990
Gore (D-TN),Albert,S170,Gore,D,TN,1990
Gorton (R-WA),Slade,S152,Gorton,R,WA,1990
Graham (D-FL),Bob,S199,Graham,D,FL,1990
Harkin (D-IA),Tom,S172,Harkin,D,IA,1990
Heflin (D-AL),Howell,S130,Heflin,D,AL,1990
Helms (R-NC),Jesse,S046,Helms,R,NC,1990
Hollings (D-SC),Ernest,S047,Hollings,D,SC,1990
Inouye (D-HI),Daniel,S051,Inouye,D,HI,1990
Johnston (D-LA),J.,S054,Johnston,D,LA,1990
Kasten (R-WI),Robert,S155,Kasten,R,WI,1990
Kennedy (D-MA),Edward,S055,Kennedy,D,MA,1990
Kerrey (D-NE),J.,S208,Kerrey,D,NE,1990
Kerry (D-MA),John,S173,Kerry,D,MA,1990
Kohl (D-WI),Herb,S209,Kohl,D,WI,1990
Lautenberg (D-NJ),Frank,S166,Lautenberg,D,NJ,1990
Leahy (D-VT),Patrick,S057,Leahy,D,VT,1990
Levin (D-MI),Carl,S131,Levin,D,MI,1990
